ID,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,Year
Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters,4043,1962
Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Living Characters,3360,1941
Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,3061,1974
Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,2961,1963
Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Living Characters,2255,1961
Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,2072,1961
Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,2017,1962
Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,1955,1963
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,1934,1961
Public Identity,Good Characters,Blue Eyes,Blue Hair,Male Characters,Living Characters,1825,1963
Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,1713,1961
Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Living Characters,1512,1975
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,1394,1964
Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,1338,1964
Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,Living Characters,1307,1963
Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,1265,1963
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,1237,1962
Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,1233,1963
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,1230,1963
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,1162,1975
Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,Living Characters,1161,1964
Public Identity,Good Characters,Blue Eyes,Auburn Hair,Female Characters,Living Characters,1120,1963
Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Deceased Characters,1107,1963
Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,1050,1964
Secret Identity,Good Characters,Yellow Eyes,Blue Hair,Male Characters,Living Characters,1047,1975
Secret Identity,Good Characters,Gold Eyes,Bald,Male Characters,Living Characters,1007,1968
Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,Living Characters,886,1980
Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,881,1968
Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,Living Characters,881,1980
Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,Living Characters,880,1980
Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,878,1974
Public Identity,Good Characters,Blue Eyes,Silver Hair,Male Characters,Living Characters,740,1964
Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,721,1962
Public Identity,Neutral Characters,Grey Eyes,Bald,Male Characters,Living Characters,709,1963
Secret Identity,Neutral Characters,Blue Eyes,Purple Hair,Female Characters,Living Characters,708,1976
Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Living Characters,696,1966
Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,Living Characters,692,1964
Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Living Characters,689,1962
Public Identity,Good Characters,Red Eyes,Grey Hair,Male Characters,Living Characters,686,1964
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,657,1982
Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,641,1941
Secret Identity,Good Characters,Black Eyeballs,Brown Hair,Male Characters,Living Characters,636,1990
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,618,1974
Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,Living Characters,612,1986
Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,590,1962
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,558,1969
Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,550,1944
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,548,1939
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,528,1976
Secret Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,Deceased Characters,526,1963
Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,525,1979
Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Deceased Characters,517,1963
Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,Living Characters,512,1965
Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,512,1969
Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Living Characters,503,1967
